n, m, k, value, time, valid, solution
50, 2, 2, 9.1910, 600.1618, 1, 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0 1 
50, 5, 2, 2702.8090, 600.5461, 1, 0 0 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 
50, 10, 2, 17760.1510, 600.7643, 1, 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 
50, 20, 2, 50560.8640, 600.1994, 1, 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 1 1 
100, 2, 2, 6.1700, 600.1198, 1, 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0 1 
100, 5, 2, 2827.1160, 600.4081, 1, 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 0 0 
100, 10, 2, 15392.6720, 600.3605, 1, 0 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 1 1 0 
100, 20, 2, 51474.2770, 600.1474, 1, 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 
50, 2, 3, 14.5400, 1200.9671, 1, 0 1 1 2 2 0 2 1 1 2 0 2 1 0 2 2 0 1 0 1 1 0 0 2 0 0 1 2 2 0 1 0 1 1 0 1 1 0 2 0 2 0 2 1 0 1 0 2 2 1 
50, 2, 4, 65.7290, 1200.8360, 1, 0 1 2 2 1 3 2 2 0 3 1 2 3 3 3 3 1 0 1 0 1 3 1 1 3 0 2 2 0 0 2 3 3 3 1 0 2 0 3 0 0 1 2 3 1 3 0 3 2 1 
50, 3, 3, 460.6890, 1200.7293, 1, 0 0 1 2 2 0 1 0 0 1 1 2 0 0 2 2 0 1 1 1 0 2 2 2 2 2 0 2 2 1 0 1 0 0 1 0 1 0 0 1 2 1 0 2 1 1 0 2 2 2 
50, 3, 4, 1290.6850, 1200.9783, 1, 0 1 1 0 2 0 0 0 2 3 3 0 3 3 0 3 2 1 2 1 1 0 0 2 2 1 1 3 3 1 0 1 2 2 0 3 0 0 2 1 3 3 1 0 1 2 1 3 3 2 
50, 4, 3, 1446.6640, 1200.7866, 1, 0 1 1 0 2 1 0 1 1 2 0 2 1 0 0 2 1 2 1 2 1 2 2 2 0 2 0 2 2 0 1 2 0 1 0 0 1 1 2 0 1 0 1 0 2 0 0 2 1 0 
50, 4, 4, 3552.2140, 1200.4749, 1, 0 0 1 1 1 2 0 1 2 1 2 2 3 2 3 1 2 3 1 3 2 3 2 2 3 3 2 2 2 0 3 0 3 1 3 3 0 2 0 0 3 0 1 2 0 0 1 0 3 1 
50, 5, 3, 4660.1470, 1200.9609, 1, 0 0 1 1 2 0 1 0 0 0 0 0 2 0 2 1 1 0 2 1 2 2 0 1 2 1 1 0 1 2 0 0 1 0 0 2 2 1 2 2 2 0 1 0 1 1 1 2 2 2 
50, 5, 4, 7041.1710, 1200.6484, 1, 0 1 0 2 2 0 1 0 1 0 0 0 2 1 1 1 3 1 0 3 3 0 1 3 3 2 1 2 1 2 1 3 3 2 2 3 0 1 0 2 2 3 1 3 1 2 0 2 3 3 
50, 10, 3, 34569.0890, 1200.0484, 1, 0 0 1 2 2 0 1 1 1 2 2 0 0 1 2 0 0 2 2 2 1 2 1 2 0 1 1 0 0 0 2 0 1 0 2 2 0 2 0 1 0 2 2 1 1 1 1 1 1 2 
50, 10, 4, 49927.7290, 1200.4742, 1, 0 0 1 2 2 1 2 1 1 1 0 0 1 3 2 0 3 2 3 1 3 3 2 1 2 1 2 3 1 0 3 0 1 3 2 2 2 3 0 3 3 0 0 3 2 0 1 1 3 0 
50, 15, 3, 59077.4110, 1200.6375, 1, 0 1 1 2 2 1 0 1 1 1 0 0 0 2 0 0 1 2 0 2 0 1 1 1 0 0 1 1 2 1 1 0 2 2 0 2 2 1 0 0 2 2 1 0 0 1 1 2 2 2 
50, 15, 4, 78819.2700, 1200.1279, 1, 0 1 1 2 1 3 1 1 2 0 0 3 3 2 0 3 0 2 0 2 0 0 3 2 0 2 1 2 2 3 2 1 1 2 3 1 1 3 0 3 0 3 2 0 1 3 1 3 0 3 
50, 20, 3, 88337.8240, 1200.6085, 1, 0 0 1 0 2 2 2 2 0 0 1 2 0 2 2 2 0 2 1 1 1 0 0 0 1 0 2 2 1 2 2 0 1 1 1 0 2 2 0 0 2 1 1 1 1 0 2 0 1 1 
50, 20, 4, 93995.9400, 1200.9925, 1, 0 1 1 0 1 2 0 2 0 3 0 3 2 2 0 2 1 3 0 3 1 3 2 1 3 0 2 2 1 2 3 1 1 3 2 3 0 1 1 2 3 0 1 3 2 1 2 3 0 0 
100, 2, 3, 19.0090, 1200.5774, 1, 0 1 0 0 2 2 0 2 2 2 0 0 0 2 0 0 1 0 2 0 1 1 0 2 0 0 0 0 2 0 2 1 0 2 0 0 1 2 2 0 2 0 0 2 0 1 1 0 2 1 1 2 1 1 1 1 2 1 2 2 1 2 2 1 1 1 2 1 0 0 2 1 1 2 2 1 1 1 1 0 2 1 1 1 1 2 1 2 1 1 2 2 1 0 2 1 2 0 1 1 
100, 2, 4, 27.5370, 1200.9725, 1, 0 1 0 2 1 1 2 0 1 2 1 0 0 1 2 3 0 2 3 3 2 1 0 2 3 3 2 1 1 3 0 3 1 3 1 3 2 0 2 3 0 0 3 2 1 1 0 2 1 0 0 0 3 3 2 3 3 3 2 3 0 0 1 3 2 3 0 1 1 2 1 2 1 2 2 2 1 1 2 1 3 2 3 2 2 0 1 0 3 0 0 1 2 1 3 1 3 3 0 3 
100, 3, 3, 331.3210, 1200.6817, 1, 0 1 1 1 2 1 0 2 1 2 1 0 1 2 1 1 0 2 2 0 2 0 0 1 0 2 2 1 1 0 1 2 2 0 1 0 0 2 2 1 1 2 0 2 0 1 0 0 2 1 0 2 1 0 2 2 2 1 0 1 0 2 1 2 0 1 1 0 0 0 0 2 1 0 2 0 2 1 1 2 1 1 1 1 0 2 1 2 1 1 2 2 2 0 0 0 1 0 0 2 
100, 3, 4, 488.0910, 1200.4644, 1, 0 1 2 0 1 1 3 3 2 2 1 2 0 1 1 2 1 0 1 3 3 0 1 1 1 0 0 0 1 3 3 2 1 3 1 0 3 3 3 3 1 0 3 2 1 0 3 0 2 2 3 2 0 1 0 1 3 3 0 1 0 1 0 3 1 3 0 1 2 0 1 0 3 0 2 1 2 1 0 2 2 2 2 2 2 0 0 2 3 3 0 3 1 0 1 3 2 2 2 0 
100, 4, 3, 1281.2700, 1200.0339, 1, 0 1 2 2 2 2 1 2 0 1 0 1 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 1 0 1 2 2 0 1 2 2 1 1 1 0 1 0 1 0 2 1 2 1 2 0 2 1 1 1 1 1 2 1 1 1 0 1 1 2 1 1 2 1 2 2 2 2 1 0 1 0 2 2 2 2 0 1 0 1 0 2 2 1 2 0 1 0 0 2 0 2 2 
100, 4, 4, 2470.3960, 1200.4954, 1, 0 1 1 1 1 2 1 1 1 1 2 3 0 1 1 0 3 1 3 0 0 3 1 1 2 3 2 1 0 2 0 3 3 3 0 2 1 1 2 0 3 1 0 2 2 3 1 1 3 2 3 2 3 1 0 1 2 2 0 0 0 2 0 2 3 3 0 1 2 3 0 0 3 1 0 3 2 3 2 1 3 2 0 2 2 3 3 0 0 0 2 3 2 1 0 1 3 0 2 1 
100, 5, 3, 2582.1340, 1200.2550, 1, 0 1 1 0 2 0 2 1 0 1 1 2 1 2 2 0 2 0 0 1 0 1 0 0 0 0 0 1 0 2 2 2 0 2 2 2 1 0 2 1 1 1 0 2 2 0 1 1 2 2 0 1 0 2 2 1 2 1 0 0 1 2 2 1 1 0 0 2 2 0 1 1 2 2 0 0 2 0 0 1 1 1 2 1 0 0 1 2 1 1 1 2 2 2 0 2 2 0 0 0 
100, 5, 4, 3356.9750, 1200.3829, 1, 0 1 2 1 2 1 0 3 2 1 3 2 0 1 3 3 1 0 1 0 2 3 1 0 3 1 2 3 2 3 0 1 1 0 2 3 2 2 0 0 2 1 0 1 3 3 1 2 2 3 3 2 0 0 3 3 3 0 1 2 1 2 0 0 0 1 0 2 2 3 1 2 0 0 3 2 2 1 0 2 2 2 3 3 3 1 1 3 0 1 1 1 0 0 1 3 0 3 0 2 
100, 10, 3, 24991.3150, 1200.4294, 1, 0 1 1 2 2 0 1 1 0 1 0 0 0 0 1 1 2 2 2 1 0 2 0 2 0 1 0 1 2 1 1 2 1 2 0 2 2 0 0 1 2 2 1 0 2 1 0 1 2 0 1 0 1 1 0 0 0 0 1 1 2 1 1 0 2 1 1 0 0 1 2 0 1 2 1 2 0 2 2 1 1 1 0 2 0 2 0 0 1 0 2 2 2 2 0 0 2 2 0 1 
100, 10, 4, 37409.7530, 1200.5173, 1, 0 1 1 1 2 3 3 2 2 2 1 2 0 3 0 0 2 2 1 2 3 0 2 0 1 2 1 1 0 1 3 2 3 0 0 1 0 1 3 3 2 3 0 3 1 0 2 1 3 0 0 3 3 2 0 1 0 2 3 2 2 1 3 3 2 2 0 3 1 0 3 1 2 2 1 2 2 1 3 3 1 3 3 1 1 0 2 2 1 3 0 0 0 1 0 0 1 0 3 2 
100, 15, 3, 51540.3590, 1200.4505, 1, 0 1 0 1 0 2 1 1 2 2 2 0 0 0 0 1 1 0 0 2 0 2 1 1 0 0 0 0 2 2 2 0 0 0 1 0 1 1 0 1 2 1 1 0 0 0 0 2 2 1 1 2 0 1 2 1 2 1 2 1 0 2 1 0 0 1 0 1 2 2 1 2 0 2 1 2 1 2 2 2 0 1 1 2 2 0 0 0 1 2 1 2 2 1 2 1 2 0 2 1 
100, 15, 4, 55733.1480, 1200.7177, 1, 0 1 2 0 3 0 1 2 2 0 1 2 2 3 1 3 3 1 0 1 1 3 2 2 0 1 0 1 1 1 3 0 2 2 3 0 2 3 1 1 1 0 2 2 0 2 1 0 0 3 3 3 2 3 0 1 0 3 1 2 0 2 3 1 3 1 2 2 3 0 2 0 1 2 2 0 1 3 2 3 0 3 1 3 3 2 0 3 2 0 0 0 3 1 0 3 3 1 1 3 
100, 20, 3, 70131.3730, 1200.1635, 1, 0 1 1 2 1 0 1 0 0 0 1 2 0 0 0 0 0 2 2 0 1 0 2 2 1 1 0 0 1 2 0 1 1 1 0 0 0 2 2 0 2 1 0 1 0 2 2 0 1 1 1 1 1 2 0 2 2 1 1 2 2 1 1 0 2 1 0 1 0 2 0 0 0 1 2 0 2 0 2 2 2 1 2 2 2 0 1 2 2 2 2 1 1 2 0 1 2 1 0 1 
100, 20, 4, 85541.0270, 1200.5642, 1, 0 1 2 0 3 2 2 0 3 1 2 2 2 2 2 3 1 0 3 3 2 2 3 2 3 3 2 3 3 1 3 3 3 0 1 0 3 0 1 0 1 3 2 3 1 2 0 1 3 3 1 1 0 0 3 1 0 1 0 1 1 2 0 2 1 2 0 1 1 3 2 0 1 2 2 2 3 0 1 1 0 1 2 0 2 2 3 0 1 0 1 3 0 3 3 1 0 0 2 0 
50, 2, 5, 423.6720, 1800.2035, 1, 0 1 2 1 3 2 1 2 2 1 2 3 3 2 3 1 0 4 2 2 4 4 4 0 3 3 2 1 2 0 2 0 0 3 0 0 4 3 4 1 4 1 1 4 3 0 4 3 0 4 
50, 2, 10, 3830.6060, 1800.6574, 1, 0 1 2 3 4 5 6 6 7 2 8 0 5 5 4 8 9 0 4 0 1 9 9 1 3 9 5 5 8 4 3 4 5 2 6 3 3 7 7 8 1 2 7 5 6 8 9 4 1 7 
50, 5, 5, 18812.5160, 1800.6067, 1, 0 1 1 2 2 3 3 0 0 4 3 0 1 4 2 4 1 3 2 2 2 4 1 3 4 3 4 2 0 4 3 4 1 0 2 3 1 2 2 0 4 1 4 2 3 1 0 0 4 0 
50, 5, 10, 34177.4930, 1800.7524, 1, 0 1 2 3 4 5 4 6 6 3 3 7 0 8 3 8 6 7 9 2 4 9 9 5 8 9 2 0 1 8 5 7 8 5 8 7 6 5 1 5 3 0 2 4 1 1 2 0 9 4 
50, 10, 5, 56595.7070, 1800.6961, 1, 0 1 0 2 2 3 1 3 3 4 0 0 0 0 3 2 3 4 0 4 3 1 0 4 4 2 4 1 4 3 1 1 1 3 4 2 0 3 1 2 2 1 1 4 2 4 3 2 4 3 
50, 10, 10, 76217.1450, 1800.4914, 1, 0 1 2 3 4 5 6 5 6 1 2 7 3 3 3 7 0 8 3 0 6 1 5 4 8 4 8 0 5 9 1 4 8 8 6 2 9 7 7 6 9 1 2 6 4 1 5 0 9 7 
50, 20, 5, 108275.1190, 1800.7271, 1, 0 1 2 0 1 3 2 3 0 3 3 2 1 0 2 4 1 2 0 4 3 2 0 1 2 1 2 1 2 1 4 0 0 4 1 4 1 4 0 0 3 4 3 3 4 4 2 4 3 3 
50, 20, 10, 124605.4670, 1800.9144, 1, 0 1 2 3 0 4 1 5 2 5 5 3 6 6 7 6 0 7 5 8 8 5 0 9 7 1 3 6 4 9 1 4 8 4 6 2 9 0 7 8 3 4 7 2 1 2 3 8 9 9 
100, 2, 5, 28.3850, 1800.5962, 1, 0 0 0 1 2 0 2 3 3 3 3 4 3 1 4 0 0 1 3 4 2 4 0 3 1 3 0 2 2 0 3 1 1 4 2 4 4 2 1 0 2 0 1 2 3 1 4 1 4 2 0 1 2 2 1 2 0 0 0 2 0 0 4 2 2 2 2 1 2 3 2 3 4 3 0 2 3 4 0 4 1 4 3 3 3 2 3 1 4 4 4 1 1 4 0 1 2 0 3 2 
