n, m, k, value, time, valid, solution
50, 2, 2, 2.0840, 600.7587, 1, 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 
50, 5, 2, 2278.8400, 600.8196, 1, 0 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 0 
50, 10, 2, 19880.2260, 600.2906, 1, 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 
50, 20, 2, 56896.3810, 600.4344, 1, 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 0 
100, 2, 2, 0.0010, 600.5206, 1, 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 
100, 5, 2, 2978.9930, 600.1242, 1, 0 1 1 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 
100, 10, 2, 15556.0620, 600.8827, 1, 0 0 1 0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
100, 20, 2, 51011.6010, 600.6464, 1, 0 1 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0 
50, 2, 3, 10.9800, 1200.3880, 1, 0 1 1 0 0 1 0 2 0 2 2 2 0 0 1 1 1 1 1 0 1 2 0 1 0 2 2 2 2 0 0 1 2 2 2 2 1 0 2 1 2 1 2 2 1 1 0 0 0 0 
50, 2, 4, 130.6980, 1200.4147, 1, 0 0 0 1 2 0 3 3 2 2 2 2 0 2 3 0 3 2 1 1 3 1 3 3 0 3 2 1 3 0 2 2 1 0 1 3 1 2 2 3 0 1 0 1 0 2 1 0 0 1 
50, 3, 3, 421.1530, 1200.0811, 1, 0 1 2 1 1 0 1 1 1 0 0 0 2 0 0 1 1 1 2 1 1 1 2 2 2 0 2 0 2 0 0 2 0 0 2 0 1 2 1 0 2 2 1 0 2 2 0 0 2 2 
50, 3, 4, 1217.3200, 1200.9758, 1, 0 0 1 2 2 0 1 2 0 3 1 3 1 3 3 0 0 3 1 2 1 0 1 2 0 1 2 0 3 3 3 1 3 0 2 2 0 1 1 0 3 1 2 3 2 0 1 2 3 2 
50, 4, 3, 1340.7570, 1200.2467, 1, 0 1 1 1 2 1 2 0 0 1 2 1 0 0 0 1 1 0 2 0 2 2 1 1 0 0 1 2 2 2 0 1 2 2 2 1 2 1 0 0 1 1 2 2 1 0 0 1 2 0 
50, 4, 4, 4660.5120, 1200.5536, 1, 0 1 0 2 3 3 3 3 0 1 1 0 0 1 0 0 2 3 2 0 2 2 1 3 2 1 3 0 3 3 1 1 1 1 2 3 3 0 1 2 2 2 0 2 1 3 1 0 2 1 
50, 5, 3, 4445.4150, 1200.7805, 1, 0 1 2 2 0 1 1 0 1 2 2 0 0 2 2 0 1 1 2 2 2 0 0 1 0 2 2 0 2 0 1 2 0 0 0 1 1 2 2 0 1 1 2 1 2 1 0 1 1 0 
50, 5, 4, 12191.4900, 1200.7753, 1, 0 1 2 1 0 2 2 1 1 3 3 2 2 1 0 0 1 3 3 1 1 2 1 0 3 2 1 3 3 0 0 2 0 3 0 1 3 0 2 3 2 2 1 1 0 2 0 3 3 3 
50, 10, 3, 27003.8380, 1200.0129, 1, 0 0 0 0 1 2 0 1 1 1 0 2 0 2 1 1 1 2 2 2 2 2 2 0 1 1 0 2 0 2 2 0 0 0 1 1 1 1 1 2 2 1 1 0 2 2 2 0 0 1 
50, 10, 4, 45191.7160, 1200.7226, 1, 0 1 1 2 2 1 1 0 0 2 2 0 3 3 2 2 0 1 3 3 3 1 3 0 0 3 1 3 3 3 3 2 1 2 0 1 0 3 2 1 1 3 0 0 1 2 0 2 2 0 
50, 15, 3, 53096.7650, 1200.6380, 1, 0 1 2 0 2 1 2 2 2 1 0 1 2 1 2 0 0 1 0 2 2 1 1 0 0 1 0 1 0 1 1 1 2 2 1 0 0 0 0 1 1 2 1 2 2 2 0 0 2 0 
50, 15, 4, 79313.5670, 1200.0488, 1, 0 1 2 2 3 3 1 3 2 2 0 0 2 1 3 2 3 1 1 1 3 0 2 0 3 0 2 1 0 3 3 2 3 1 0 3 1 0 2 3 1 1 2 0 3 2 0 1 0 2 
