n, m, k, value, time, valid, solution
50, 2, 2, 9.1910, 600.1618, 1, 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0 1 
50, 5, 2, 2702.8090, 600.5461, 1, 0 0 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 
50, 10, 2, 17760.1510, 600.7643, 1, 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 
50, 20, 2, 50560.8640, 600.1994, 1, 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 1 1 
100, 2, 2, 4.3230, 600.3447, 1, 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 
100, 5, 2, 2775.8340, 600.2405, 1, 0 0 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 
100, 10, 2, 15389.6220, 600.1197, 1, 0 1 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 
100, 20, 2, 46912.1890, 600.9851, 1, 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 
500, 2, 2, 2.4230, 600.8942, 1, 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 
500, 5, 2, 2856.6060, 600.0135, 1, 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 1 1 1 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 
500, 10, 2, 17712.7420, 600.3790, 1, 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 1 
500, 20, 2, 50328.7120, 600.2855, 1, 0 0 1 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 
50, 2, 3, 14.5400, 1200.9671, 1, 0 1 1 2 2 0 2 1 1 2 0 2 1 0 2 2 0 1 0 1 1 0 0 2 0 0 1 2 2 0 1 0 1 1 0 1 1 0 2 0 2 0 2 1 0 1 0 2 2 1 
50, 3, 3, 390.3110, 1200.6632, 1, 0 1 1 2 2 2 2 1 0 1 1 2 0 0 0 1 2 1 0 2 0 2 1 0 0 2 0 0 1 0 0 2 0 2 1 1 2 1 1 1 0 2 0 0 0 1 1 1 2 2 
50, 4, 3, 1446.6640, 1200.7866, 1, 0 1 1 0 2 1 0 1 1 2 0 2 1 0 0 2 1 2 1 2 1 2 2 2 0 2 0 2 2 0 1 2 0 1 0 0 1 1 2 0 1 0 1 0 2 0 0 2 1 0 
50, 5, 3, 4660.1470, 1200.9609, 1, 0 0 1 1 2 0 1 0 0 0 0 0 2 0 2 1 1 0 2 1 2 2 0 1 2 1 1 0 1 2 0 0 1 0 0 2 2 1 2 2 2 0 1 0 1 1 1 2 2 2 
50, 10, 3, 29186.6880, 1200.7410, 1, 0 1 2 1 2 1 0 2 0 0 2 2 1 2 0 2 1 0 2 0 1 0 1 1 1 2 2 0 1 2 0 0 2 0 0 1 1 0 0 0 1 2 0 0 1 2 2 2 1 1 
50, 15, 3, 59077.4110, 1200.6375, 1, 0 1 1 2 2 1 0 1 1 1 0 0 0 2 0 0 1 2 0 2 0 1 1 1 0 0 1 1 2 1 1 0 2 2 0 2 2 1 0 0 2 2 1 0 0 1 1 2 2 2 
50, 20, 3, 79280.0490, 1200.5702, 1, 0 1 1 0 0 2 1 2 2 2 2 2 1 1 0 2 0 1 0 0 0 2 2 0 2 2 0 1 1 0 1 2 1 1 0 1 1 1 2 0 2 0 2 2 0 0 2 0 1 1 
100, 2, 3, 13.3180, 1200.1269, 1, 0 1 0 2 0 2 0 0 2 2 0 1 2 1 2 2 1 1 0 0 2 2 2 2 1 2 0 0 2 0 2 1 1 2 2 1 0 1 1 2 1 2 0 1 1 0 1 1 1 2 0 2 1 1 2 1 2 0 1 1 0 1 2 2 2 1 0 0 1 0 2 0 0 2 1 1 0 1 2 0 2 0 1 0 0 2 1 2 2 1 1 0 0 2 2 2 2 1 1 2 
100, 3, 3, 331.3210, 1200.6817, 1, 0 1 1 1 2 1 0 2 1 2 1 0 1 2 1 1 0 2 2 0 2 0 0 1 0 2 2 1 1 0 1 2 2 0 1 0 0 2 2 1 1 2 0 2 0 1 0 0 2 1 0 2 1 0 2 2 2 1 0 1 0 2 1 2 0 1 1 0 0 0 0 2 1 0 2 0 2 1 1 2 1 1 1 1 0 2 1 2 1 1 2 2 2 0 0 0 1 0 0 2 
100, 4, 3, 1281.2700, 1200.0339, 1, 0 1 2 2 2 2 1 2 0 1 0 1 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 1 0 1 2 2 0 1 2 2 1 1 1 0 1 0 1 0 2 1 2 1 2 0 2 1 1 1 1 1 2 1 1 1 0 1 1 2 1 1 2 1 2 2 2 2 1 0 1 0 2 2 2 2 0 1 0 1 0 2 2 1 2 0 1 0 0 2 0 2 2 
100, 5, 3, 2554.6640, 1200.7407, 1, 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 2 1 0 1 0 0 2 0 0 0 1 0 0 2 1 1 0 2 1 2 1 2 1 1 2 1 2 0 2 2 1 1 2 2 2 2 1 2 2 0 1 1 0 1 1 2 2 2 1 1 2 1 2 0 0 2 1 1 2 0 0 0 1 1 2 0 1 0 1 2 0 2 1 0 0 1 0 2 2 1 2 2 0 2 
100, 10, 3, 23351.7680, 1200.6724, 1, 0 1 2 1 1 2 1 2 1 2 1 2 2 1 2 0 1 1 1 0 1 0 1 0 2 1 0 0 1 2 1 1 1 1 1 1 0 2 0 0 0 2 2 2 2 0 1 2 2 2 2 0 0 2 2 0 0 0 2 2 1 0 0 0 1 0 0 2 0 1 2 2 2 2 1 0 0 0 2 1 2 2 0 0 1 0 1 0 1 1 1 2 2 1 1 0 2 0 2 0 
