n, m, k, value, time, valid, solution
50, 2, 2, 2.0790, 600.3687, 1, 0 1 0 0 0 0 1 1 0 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 1 
50, 5, 2, 932.2700, 600.0146, 1, 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 
50, 10, 2, 17112.0830, 600.8602, 1, 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 1 
50, 20, 2, 56733.5900, 600.6439, 1, 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 
100, 2, 2, 19.5170, 600.5866, 1, 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 1 0 
100, 5, 2, 3595.8890, 600.7473, 1, 0 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 1 
100, 10, 2, 17714.3350, 600.8992, 1, 0 0 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 0 1 
100, 20, 2, 52419.1380, 600.9942, 1, 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 
50, 2, 5, 298.5930, 1800.0791, 1, 0 0 1 1 0 2 3 0 2 4 4 2 2 3 0 4 2 1 2 3 0 3 0 3 3 2 4 4 1 4 1 1 3 1 0 3 1 4 4 1 2 1 4 3 2 0 3 4 2 2 
50, 2, 10, 3122.0830, 1800.5735, 1, 0 1 2 3 4 0 0 1 5 3 6 7 0 6 6 7 1 1 4 3 8 3 9 7 4 5 9 4 2 4 2 6 8 5 6 9 4 8 6 5 8 7 5 8 8 9 2 2 9 1 
50, 5, 5, 16263.8840, 1800.7930, 1, 0 1 1 2 2 3 0 2 1 2 2 1 0 3 4 4 3 1 3 0 4 4 3 1 4 2 1 0 2 3 0 3 0 2 3 4 1 4 0 0 1 2 4 0 4 1 3 2 4 3 
50, 5, 10, 35567.5700, 1800.0862, 1, 0 1 2 2 1 3 2 0 0 4 3 5 1 1 5 6 3 0 1 7 5 8 7 7 2 6 9 4 6 5 4 0 2 8 6 6 5 8 7 3 9 9 8 4 8 9 7 9 7 4 
50, 10, 5, 51181.1310, 1800.6618, 1, 0 1 2 3 1 4 3 1 0 2 1 1 2 0 0 0 1 3 3 0 1 4 3 2 2 1 4 0 1 0 4 3 4 3 3 0 3 4 4 1 2 2 4 2 0 4 3 4 2 2 
50, 10, 10, 72155.1050, 1800.2539, 1, 0 1 2 3 4 0 5 6 7 8 3 8 6 4 9 4 7 0 3 7 8 2 8 6 2 5 9 0 2 2 1 0 4 3 4 9 5 3 2 1 6 5 7 9 6 5 1 9 1 8 
50, 20, 5, 101911.8670, 1800.7303, 1, 0 1 2 2 3 4 1 4 4 3 2 0 4 3 4 1 4 3 4 3 0 0 0 3 2 4 1 0 0 2 1 4 1 0 1 2 0 4 3 1 2 3 1 2 0 3 2 1 2 3 
50, 20, 10, 111694.6770, 1800.8147, 1, 0 1 2 3 4 5 2 6 0 3 7 5 1 4 5 0 8 8 0 4 5 7 6 7 3 5 6 9 1 3 7 8 6 9 8 3 1 9 0 6 9 4 2 8 9 4 2 1 2 7 
