n, m, k, value, time, valid, solution
50, 2, 2, 11.7900, 600.5522, 1, 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 0 0 0 
50, 5, 2, 4494.6760, 600.6334, 1, 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 
50, 10, 2, 15362.9030, 600.0118, 1, 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 
50, 20, 2, 48281.4990, 600.5799, 1, 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 1 
100, 2, 2, 4.1290, 600.3646, 1, 0 1 0 1 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 
100, 5, 2, 3780.1470, 600.2449, 1, 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 0 1 0 0 1 0 1 1 1 
100, 10, 2, 16519.3270, 600.9591, 1, 0 0 1 1 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 
100, 20, 2, 52600.3500, 600.3491, 1, 0 0 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 
50, 2, 3, 13.9190, 1200.0189, 1, 0 1 1 1 0 2 1 1 1 0 1 1 1 2 2 2 2 0 0 0 1 1 2 2 0 2 2 0 1 2 2 1 1 1 0 0 0 0 0 1 2 2 0 1 2 2 1 0 2 0 
50, 2, 4, 100.6010, 1200.2514, 1, 0 1 2 2 2 2 1 2 0 0 2 3 1 1 0 2 0 3 0 2 0 1 3 0 1 2 2 2 2 1 1 1 0 3 3 3 3 1 0 0 1 3 2 0 3 3 1 1 2 3 
50, 3, 3, 193.8690, 1200.4665, 1, 0 0 0 1 2 0 0 2 2 1 1 2 2 0 0 0 2 0 1 2 1 2 0 0 2 2 1 2 1 1 1 2 2 0 0 2 0 1 0 0 0 2 1 0 1 2 1 1 1 1 
