n, m, k, value, time, valid, solution
50, 2, 3, 14.9050, 1200.3264, 1, 0 1 0 2 0 0 1 0 1 0 2 1 0 0 2 1 1 1 2 0 1 1 1 0 0 2 2 0 2 2 1 1 2 2 2 0 2 1 2 2 0 1 0 2 2 2 1 2 0 1 
50, 2, 4, 59.6570, 1200.0363, 1, 0 0 0 1 0 2 1 1 0 2 1 1 3 1 3 2 1 3 3 0 2 3 0 2 2 0 1 3 0 0 2 0 3 1 2 3 1 0 2 3 1 1 3 3 2 2 3 2 1 1 
50, 3, 3, 271.3470, 1200.1439, 1, 0 1 1 0 2 1 1 2 2 2 2 0 2 1 2 2 2 1 1 0 2 0 2 0 0 2 0 1 0 0 2 2 1 0 1 0 2 2 0 1 1 0 0 2 1 1 0 1 2 1 
50, 3, 4, 1016.2200, 1200.0315, 1, 0 1 0 2 0 2 3 1 1 1 1 0 1 0 3 1 1 1 3 0 0 1 2 2 2 3 3 3 1 0 3 2 2 3 2 2 0 0 0 2 1 2 3 0 3 2 2 3 1 3 
100, 2, 3, 12.3540, 1200.0432, 1, 0 1 2 0 1 2 1 1 2 1 0 2 0 2 0 1 0 1 2 2 1 1 1 0 0 0 2 0 0 2 1 2 1 1 1 1 2 2 1 1 2 1 2 2 2 0 2 0 2 1 0 2 0 0 1 1 0 2 2 0 0 0 1 0 2 2 1 1 2 1 2 2 0 2 1 2 1 2 1 2 0 0 2 1 0 0 2 2 1 0 2 0 1 2 2 0 0 1 0 1 
100, 2, 4, 21.4370, 1200.4907, 1, 0 1 2 1 1 1 2 2 3 1 3 2 0 1 1 3 1 3 0 3 3 2 2 0 0 0 2 0 2 3 2 0 1 3 1 3 2 0 1 2 0 0 2 2 1 3 1 2 3 1 0 2 3 0 3 0 0 0 3 1 2 2 0 2 1 1 3 2 3 1 0 2 2 2 2 1 2 1 0 0 3 3 0 0 3 3 2 3 0 1 1 3 0 3 1 3 0 1 0 0 
100, 3, 3, 270.0130, 1200.4064, 1, 0 0 1 0 2 1 0 2 0 0 1 2 2 0 2 2 0 1 0 0 0 1 1 2 1 1 1 2 2 2 0 1 1 2 2 2 1 0 2 0 0 1 0 2 1 1 1 1 2 1 1 2 2 1 2 2 0 2 2 0 1 2 1 1 0 1 0 0 2 2 2 0 0 0 0 2 0 1 1 1 2 2 1 1 1 1 2 2 0 2 1 1 2 0 0 0 0 0 1 1 
100, 3, 4, 562.8840, 1200.8076, 1, 0 1 1 1 2 2 1 3 1 0 0 2 0 3 2 3 3 3 2 0 1 1 1 0 2 2 3 1 0 1 0 3 2 3 2 1 0 2 2 3 2 2 0 0 1 2 1 2 0 3 1 2 0 3 3 0 3 0 0 1 2 3 2 2 2 1 0 1 1 1 3 0 0 3 2 1 2 1 3 0 0 0 3 1 2 3 3 3 3 2 3 2 2 2 1 1 3 0 0 0 
50, 2, 5, 519.3420, 1800.7152, 1, 0 1 2 2 3 0 1 0 2 4 4 2 3 0 4 1 3 1 2 2 4 4 4 0 2 3 3 2 1 2 1 3 0 1 3 1 2 1 4 4 3 3 3 0 3 1 4 4 1 0 
50, 2, 10, 5324.2410, 1800.5262, 1, 0 1 2 3 4 5 6 4 0 7 5 2 5 8 6 3 4 9 1 9 8 1 2 6 1 7 3 3 1 9 6 9 0 4 4 7 3 1 7 2 7 0 8 6 5 9 2 7 5 8 
50, 2, 20, 15241.2570, 1800.4213, 1, 0 1 2 3 4 5 6 7 8 9 3 10 4 11 12 12 13 8 6 14 15 15 1 9 11 2 15 16 17 16 10 13 18 7 13 7 18 10 19 18 3 0 14 4 5 1 17 19 19 9 
50, 5, 5, 17600.6510, 1800.7468, 1, 0 0 1 0 2 1 3 4 0 2 2 2 0 3 2 4 4 4 2 4 1 0 2 3 3 1 4 3 1 0 0 3 3 2 4 3 0 2 4 2 4 1 2 2 1 1 1 3 3 4 
50, 5, 10, 37347.5550, 1800.1987, 1, 0 1 2 3 4 4 5 6 1 2 7 3 8 0 9 8 3 9 2 0 1 7 7 7 3 6 0 9 5 4 5 4 6 1 9 9 6 4 5 8 5 8 2 6 2 3 1 7 2 8 
50, 5, 20, 57841.9820, 1800.0043, 1, 0 1 2 3 4 5 6 7 8 8 9 10 4 11 6 1 12 13 13 0 9 14 8 15 16 5 14 17 17 7 18 13 15 11 12 15 19 14 16 18 1 16 10 19 2 12 19 18 4 3 
50, 10, 5, 56592.3770, 1800.8057, 1, 0 1 2 3 0 2 4 4 3 0 1 4 1 0 2 4 4 3 2 3 1 0 0 3 4 3 4 2 4 0 1 2 2 3 3 2 0 4 1 4 0 1 1 3 2 1 2 1 3 0 
