n, m, k, value, time, valid, solution
50, 2, 3, 20.8180, 1200.2269, 1, 0 1 1 1 0 0 2 1 0 0 0 2 0 0 1 2 1 0 1 0 0 2 0 1 1 2 2 2 0 2 2 2 0 1 0 2 1 0 0 1 0 2 2 2 1 2 1 2 2 1 
50, 2, 4, 116.3380, 1200.5349, 1, 0 1 1 2 0 3 2 2 1 3 1 0 2 2 1 3 1 3 2 3 1 0 0 2 3 1 3 2 0 3 3 0 3 0 1 1 2 0 2 0 1 3 3 1 0 0 3 0 1 3 
50, 3, 3, 390.3110, 1200.6632, 1, 0 1 1 2 2 2 2 1 0 1 1 2 0 0 0 1 2 1 0 2 0 2 1 0 0 2 0 0 1 0 0 2 0 2 1 1 2 1 1 1 0 2 0 0 0 1 1 1 2 2 
50, 3, 4, 1587.0960, 1200.4431, 1, 0 0 1 1 0 0 1 2 2 2 2 3 0 0 0 3 2 2 0 1 1 3 3 1 3 2 3 3 3 0 1 2 3 2 3 1 1 2 3 3 2 0 0 3 0 1 2 0 1 3 
100, 2, 3, 13.3180, 1200.1269, 1, 0 1 0 2 0 2 0 0 2 2 0 1 2 1 2 2 1 1 0 0 2 2 2 2 1 2 0 0 2 0 2 1 1 2 2 1 0 1 1 2 1 2 0 1 1 0 1 1 1 2 0 2 1 1 2 1 2 0 1 1 0 1 2 2 2 1 0 0 1 0 2 0 0 2 1 1 0 1 2 0 2 0 1 0 0 2 1 2 2 1 1 0 0 2 2 2 2 1 1 2 
100, 2, 4, 31.0650, 1200.9664, 1, 0 1 2 2 2 0 3 3 2 2 1 3 0 0 1 0 1 2 2 0 3 1 1 2 1 2 2 3 3 2 2 2 1 0 2 2 3 0 2 1 1 0 1 3 3 0 0 0 0 2 1 1 1 0 3 3 0 3 3 2 3 2 3 0 3 1 2 3 3 1 1 0 3 2 1 3 1 1 1 2 0 0 3 2 1 3 2 2 0 0 0 0 0 1 2 0 0 3 1 2 
100, 3, 3, 457.6410, 1200.6076, 1, 0 0 1 2 2 0 1 0 1 2 0 1 1 1 0 0 2 1 1 2 0 1 0 0 0 0 2 1 2 1 0 1 2 1 2 0 2 1 0 1 1 2 1 0 2 0 2 1 0 2 1 2 0 0 1 0 2 2 2 2 0 2 2 1 0 1 0 0 1 2 1 2 1 1 1 1 1 2 1 0 0 0 0 2 2 2 2 0 2 2 1 0 2 1 0 1 1 0 0 0 
100, 3, 4, 562.7340, 1200.7313, 1, 0 0 1 2 3 2 1 0 1 0 2 2 2 2 1 1 2 0 0 0 1 1 1 3 1 3 3 3 2 3 1 3 2 0 2 1 2 0 2 2 2 3 3 0 0 3 0 0 3 1 1 3 3 2 2 0 1 1 1 3 1 2 1 3 0 1 1 1 3 0 0 2 0 0 2 3 0 3 0 0 3 0 1 0 2 3 3 2 3 3 2 0 2 1 2 1 3 1 1 1 
50, 2, 5, 612.7750, 1800.4937, 1, 0 1 1 2 3 3 0 3 3 1 4 2 1 2 2 0 1 3 4 2 4 3 2 3 1 3 3 3 2 0 4 4 1 4 2 4 0 3 0 2 1 0 0 2 4 1 1 2 4 4 
50, 2, 10, 4239.1380, 1800.4350, 1, 0 1 2 3 4 4 0 5 6 5 7 6 8 2 7 5 1 2 3 7 1 2 9 5 1 8 0 6 9 4 5 4 4 9 0 6 3 3 9 3 7 0 8 0 1 4 7 8 8 2 
50, 2, 20, 23363.8220, 1800.5760, 1, 0 1 2 3 4 5 6 7 8 8 0 9 10 8 3 6 5 11 11 12 3 13 2 12 14 10 15 16 0 15 10 1 7 1 17 17 15 9 16 13 4 14 18 17 19 19 5 9 18 13 
50, 5, 5, 16775.2540, 1800.3508, 1, 0 1 2 0 1 3 2 0 1 0 4 3 1 1 0 3 1 0 3 4 0 2 0 4 4 2 3 2 4 0 0 4 3 1 1 4 1 1 3 2 3 3 4 2 4 2 3 2 2 1 
50, 5, 10, 37032.8660, 1800.4235, 1, 0 1 0 2 3 0 4 3 4 4 5 1 5 5 5 3 6 7 5 7 7 4 2 8 1 4 1 7 6 8 1 4 3 1 3 2 8 0 0 9 6 9 8 7 9 2 0 9 6 9 
