n, m, k, value, time, valid, solution
50, 2, 3, 16.1150, 1200.9986, 1, 0 0 0 1 1 2 2 0 1 1 2 2 0 0 2 2 2 2 0 0 1 2 0 1 2 1 2 0 0 1 0 2 1 2 1 1 1 0 1 1 2 1 1 1 0 0 0 0 0 2 
50, 2, 4, 138.3430, 1200.8180, 1, 0 1 1 2 2 0 0 3 0 2 2 1 3 1 3 2 0 0 1 2 3 3 1 1 2 2 1 3 0 3 0 3 2 3 0 3 1 3 1 0 1 1 3 3 3 3 1 0 2 0 
50, 3, 3, 237.6570, 1200.3638, 1, 0 1 2 0 2 0 0 2 2 0 2 0 0 2 1 0 1 1 1 2 2 2 0 1 0 1 2 1 0 2 0 1 2 1 1 1 0 0 1 2 2 0 2 2 1 1 2 2 0 0 
50, 3, 4, 1181.9120, 1200.5761, 1, 0 1 2 3 2 1 0 3 2 3 0 3 2 3 0 2 2 1 0 0 1 1 3 2 3 0 0 1 1 1 2 0 1 2 3 3 3 3 2 1 0 2 1 1 2 2 3 3 1 0 
100, 2, 3, 10.3230, 1200.4061, 1, 0 1 0 1 1 2 1 0 0 0 2 0 1 1 0 2 1 1 2 1 0 0 1 1 0 2 1 1 2 0 0 2 0 2 2 0 1 0 2 2 0 0 0 1 0 1 2 0 0 1 2 0 0 2 1 0 1 2 2 1 2 1 0 0 2 1 0 0 2 0 2 2 1 2 2 1 1 2 0 1 2 0 2 2 1 0 2 1 0 1 2 2 2 2 2 2 0 2 2 0 
100, 2, 4, 28.7810, 1200.1655, 1, 0 1 2 2 3 0 1 3 1 1 3 0 2 2 0 3 3 0 3 2 1 2 0 2 3 3 1 3 2 3 0 1 1 1 0 3 2 3 2 0 2 0 0 0 1 3 1 2 3 1 2 1 3 3 2 1 1 0 0 3 3 0 3 1 1 0 3 0 2 1 1 3 2 0 0 2 0 2 1 2 2 2 1 1 3 1 0 2 3 0 0 2 3 0 1 2 3 3 0 1 
100, 3, 3, 366.6700, 1200.4189, 1, 0 1 1 2 0 2 1 1 1 2 0 1 2 0 1 2 1 2 1 1 1 0 0 0 1 0 2 0 1 2 1 2 1 0 2 0 1 0 0 1 2 2 2 2 2 2 2 0 1 1 2 0 1 1 0 0 0 2 0 2 0 1 0 2 1 1 2 2 0 1 2 0 2 2 2 0 2 0 1 0 1 0 1 1 1 0 2 2 2 0 2 0 2 2 0 2 0 2 0 0 
100, 3, 4, 465.5620, 1200.8553, 1, 0 1 2 0 0 1 0 1 2 3 2 2 3 1 3 0 1 1 2 1 1 0 1 1 3 0 0 1 2 1 3 1 3 0 2 2 3 2 3 1 1 2 3 2 1 0 1 0 2 2 2 3 2 0 0 3 2 2 1 3 0 2 2 1 1 2 3 2 2 0 3 1 2 2 1 0 3 0 3 0 1 1 2 2 0 3 0 0 0 3 1 3 1 3 3 3 1 3 3 3 
50, 2, 5, 579.7480, 1800.1902, 1, 0 1 0 1 1 0 2 3 0 1 0 2 3 3 2 4 4 2 3 0 4 2 0 3 3 3 4 4 4 0 0 0 1 3 1 2 4 2 4 4 3 2 4 2 1 0 1 1 0 3 
50, 2, 10, 4995.2180, 1800.5319, 1, 0 1 2 1 3 4 5 6 7 6 0 8 1 2 6 9 2 0 4 5 0 8 5 7 9 7 8 2 7 2 8 1 1 6 4 6 4 5 7 9 8 2 3 6 3 3 9 3 9 4 
